i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,526861,57971387,40523,35641644,13300892882,92787688
2,508705,136074679,43414,34317838,13588555720,78670361
3,74042990,69428142,37256,34076009,13771470702,83661449
4,486929,133520039,38372,34184695,13788280333,84831828
5,20372963,109717383,37982,35102966,13835082007,83054096
6,478801,135744600,38838,34155205,14728260121,95082734
7,493618,130176110,53795,41766865,13753601741,96111314
8,29057336,97636272,40403,38714222,13962899975,85436725
9,546483,137160331,37005,34064749,14103592845,84283459
10,27102458,104900184,36547,34071372,13745224559,88095970
11,508569,130875726,38035,35075529,14419996916,93803929
12,29830428,100953482,37790,33034850,13744767141,84069565
13,509833,68164975,49339,71381889,13784831235,90520513
14,7835302,96391706,50454,44648897,13582717857,86626582
15,42045541,90948488,36624,36628498,14543693017,95769038
16,481779,131073443,36044,34002091,13647573367,91833423
17,511831,85186073,49703,65788452,13797556689,84449117
18,23700477,113920107,38813,33728813,13848795938,85033571
19,481874,135960384,38544,34068145,13581736678,100393271
20,1108655,100542286,48008,43200231,13638798500,93684944
