i,sstep,lambdastep,gammastep,wstep,loss
1,3491410292,272145777624,4814063551,209843269,290608436
2,293987824,1565054425,3530097904,64804402,381346
3,178808406,1338379159,3947186841,34033340,378485
4,241996686,1481913673,4239265197,40590903,431067
5,220982815,694295330,4114272796,44046309,396429
6,240502100,836605406,4108840060,45042142,391489
7,223600474,659722613,4236946360,51212014,401877
8,455765450,660210022,4537995044,61634731,390850
9,485572335,640504888,4070575731,56407120,384673
10,129873599,654389406,3922535700,58694507,393437
11,229603247,637857622,4063942459,60591833,396548
12,212870605,641983385,4414690105,62999177,396503
13,235044568,659013401,4075093551,62575947,398866
14,187799167,638029225,4139831832,1427923385,399330
15,171875308,252778837168,4101039146,46637191,410840
16,107602292,860433014,3980642790,45841747,422112
17,275464816,597450649,4255794623,55949882,389245
18,214904417,638800767,3801836030,36110589,400359
19,189764081,1016672372,4030512110,36669333,380012
20,269174051,660742660,4136779640,40697351,396044
21,251328351,766166875,3664110210,42491507,411155
22,167540044,663889318,4023576932,47909711,393509
23,193581183,833625692,4037239703,46332314,427505
24,232061767,1176183540,11844268519,1025729184,413231
25,193021222,258768112824,3667531055,506451526,409455
26,167692331,1496120486,25393490577,1203943595,414920
27,389630623,997401809,4228766616,508500531,405179
28,198238949,1174905126,4109943417440,1835801898,466188
29,327350498,984030788,3831719725,945066693,375826
30,243418365,1231105261,3990257031,950921807,377076
31,214449790,1342872473,3520173798,31009349,396413
32,287656116,832914447,3796601097,51670603,394755
33,166018992,611623656,4391869746,42003991,394426
34,124356628,645605797,3998899579,243541126,420599
