i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,122928,882188,4962,8592569,64380,372588
2,68781,934962,4367,7336103,47679,302316
3,114479,919618,4426,9497255,46951,329852
4,106438,961665,3944,9714274,43034,348262
5,68861,896922,3920,7203311,38238,1151942
6,67566,892567,4356,7097646,39288,311724
7,103678,889876,4331,9141989,40621,301101
8,96357,901302,4691,7941266,37710,303453
9,67805,871147,4598,7319238,36036,300725
10,73200,2122555,3992,7078439,38307,295614
11,97461,884120,3617,7897621,38090,293883
12,96567,876951,3904,9257507,43079,286849
13,68631,885028,4262,7132190,37796,297221
14,106436,905478,4213,7892012,34605,300112
15,97687,885339,4078,9171354,37097,292165
16,68270,858947,3886,7149132,36537,1128059
17,72765,882674,4196,7069282,35866,295272
18,110592,905779,4129,8835675,37088,294823
19,96208,883076,4088,8012994,38885,302226
20,68277,1185241,6200,7478075,38048,310423
21,69993,2393945,3750,7074841,38846,305881
22,99680,891134,3702,7913547,36714,294149
23,97385,886125,4221,9243376,37932,292401
24,68495,868922,3720,7120134,36992,302334
25,109244,920906,3617,7902228,34657,291263
26,97042,913619,4063,9201979,38636,292753
