i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,941623,1591026,37116,50554407,8862673,725149
2,2147248,1539476,35553,19436644,11732290,729209
3,290383,1543422,33026,18714316,8781950,713827
4,282516,1575356,34420,19245280,11176186,733362
5,288821,1556190,33795,25888846,8768825,714025
6,280517,1541239,34696,18904822,11153391,708253
7,280680,1563091,32939,18739913,8785658,685385
8,286798,1567673,35058,19226013,10466035,678049
9,276791,1584813,34694,20062945,8771217,720644
10,284599,1573711,34830,18494492,11228186,690338
11,276085,1603320,35310,20304543,8789602,665817
12,291493,3113825,34341,19029001,8801626,675226
13,269140,1580884,33002,20197886,8784484,663895
14,292842,3717277,35720,18409719,8809840,667623
15,234592,1568050,34200,17415345,11484827,693382
16,290199,3044160,34156,18934523,8807567,691237
17,232368,1578862,35821,17257346,11591210,727189
18,288303,3656413,34879,18651236,8799675,688427
19,236158,1612107,34539,17234645,11471584,710282
20,286600,1577139,33506,19082348,8793428,2024272
21,231609,1586738,34439,17208278,11475052,718147
22,292339,1582830,33545,18562046,8788987,2634906
23,231496,1587509,34843,17235103,11404163,712194
