i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1114620,5122280,41841,26921313,24793363,727324
2,3974862,4363367,40032,24477026,29018353,701271
3,562033,4476251,41822,27441554,25901328,700245
4,300249,4549189,46883,27017120,23162405,663157
5,297440,6653273,41757,25000907,24325443,661823
6,268993,6507188,42712,25494967,23422045,696210
7,283146,5000409,40858,24518950,26049891,728151
8,287783,4484864,41650,25440522,28997575,694828
9,290858,4511443,44305,27065852,26307443,699952
10,309391,4573501,53978,25358396,23251890,663807
11,302667,5718958,44826,26114138,23175650,1517069
12,264919,6024704,42932,24563417,24824888,716711
13,284160,5434935,42099,25707316,24612474,700968
14,284669,5065378,39502,24390578,29134647,727613
15,289063,4493305,42210,26668502,25819648,690246
16,307994,4550022,43532,26762185,23590757,674209
17,297242,5088590,42621,24982479,24315881,1478222
18,266133,6434192,42406,25328460,23414407,738476
