i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,10555,4849592,9975,6267849,43382171414,85692975
2,58161,3712247,14652,9141942,44054376609,85291366
3,19126,6642236,14475,5483419,69639503713,170551878
4,15791,12650930,13874,34433621,58797083629,85546356
5,18069,25541965,14343,67154221,71944236282,20327693
6,28041,4050427,20964,117276491,55494251992,85341352
7,19173,15587915,18746,62736138,54735149531,161467707
8,16461,12884423,14629,7415934,58976540236,84908691
9,38359,5834249,19584,109467037,71949844573,66206631
10,13585,6074869,15051,102407717,46399537096,172756963
11,25679,20267242,16958,5123665,56622049546,61965288
12,29970,40345665,18371,85995638,47452636497,85584948
13,38606,15947342,19687,5735440,45601156914,59429341
14,21066,7408654,12715,120153013,56801488424,109107365
15,41784,18934449,18359,92582509,46391525046,143002466
16,18982,10045741,8623,3546552,44665504014,184133167
17,25020,9240133,20170,5725078,26268941012,133744686
18,25172,5700843,16149,5664603,40683269332,75707930
19,19544,17769401,15747,5617009,39819613388,65700495
20,10543430,6951516,13022,77835034,39859492521,76283717
