i,sstep,lambdastep,gammastep,wstep,loss
1,105673050,24715619,1284518542,45689686448,79248191
2,174647344,177200561,1250661643,121423980180,86375712
3,180576081,527615747,1292486422,72286615674,65828440
4,189932900,92077214,1306922074,71093082763,78943770
5,171862424,176804785,1243829953,70477626031,86277227
6,182651000,53810949923,1269509496,71099072498,180384979
7,87651815,49798288110,1250341160,70404827846,47365595
8,194842527,166059268,1045824002881,76929597768,83432315
9,176989591,171884118,1276369788,70669557488,85848053
10,189382779,165714219,1278641300,67720026630,85581468
11,180475043,58190083,1304210392,72882697994,85394755
12,184775707,50591491689,1027784070246,71191926801,210549648
13,192948421,192489880,1292305085,70786575509,26213073
14,193945231,270083247,1173412615,67702999247,83009582
15,197173515,160188625,1257198550,67598540753,88392540
16,177501021,421211986,1334731645,68789725028,85655814
17,177553257,200530712,1275151016,66707933290,164071798
18,118489152,162982140,1268369180,70999717030,66365833
19,185801472,53566277832,1360677272,68157133881,60091059
20,191039811,152956423,521425760155,67422496428,85790084
21,176379296,52393629470,1211906816,67522082798,54308538
22,194473619,165801026,1241581299,64010739642,77661947
23,184313431,53628776,1355806004,65625900366,76187284
24,174263917,30019641,1266164987,69184223947,46213445
25,198019137,164676280,1261405933,64188208377,76070016
26,176745786,175420795,1323032544,66252168667,85337494
27,191191618,27771435,1251464272,66336857104,85455587
28,163339182,172527779,1343516809,62760654148,29837397
29,191014309,472036688,1303256555,65931842247,1753471
30,168352645,184885726,1243041333,63297355379,17112609
31,190964517,222377687,2669440798,65820096160,85961915
32,188211570,142112771,2461231844,64510637328,54742960
33,187476758,165721029,1368182328,65695685750,86248939
34,183710833,53852184967,1309624496,64804678064,82601754
35,168389333,160277674,977153663460,62413101091,38017298
36,176355522,53736389689,1308283362,66179109201,85544912
37,192121177,155719835,1295380335,61632973697,85392442
38,169615621,189400325,1363246343,65292254457,85682477
39,183646817,31586010,1294859114,63757528134,83223460
40,191163530,155105538,1333119767,69699833290,177373405
41,112946553,418274460,1272426341,61708895926,86171758
42,179625506,199045125,1271330453,73098700238,85793654
43,169154426,229657593,2389779637,64260032504,65216421
44,191045068,53314973013,1328621720,61933183181,85432975
45,189152779,52555824322,1241667581,64627768896,85610252
46,178721091,175994729,1339154947,68539729692,88679550
47,185260246,30578808,1533668076,40994431821,85744812
48,200127070,26209147,1338893751,40510666216,85552518
49,185631920,164719208,1293178499,37492766862,85567311
50,170825186,60021384,1388980102,38150828026,66117171
51,199398811,26424464,1408510993,38981153190,85859640
52,182537767,278447441,1086476373807,36933192834,85484149
53,174859539,154774523,1233305108,38107211579,85624918
54,179219325,176881341,1258825727,35272793491,85748646
55,188980355,170480799,1363936143,41408222965,85333836
56,177478677,25485834,1269944492,35622264683,85470979
57,188118646,45274373016,1352864996,36329174376,85365103
58,187610068,157476768,1308868384,59893883931,85805567
59,186782641,174573706,1225182984,35495879192,209221629
60,191700888,28299634,1242722785,35795735206,16590118
61,188321098,413985456,1051630224454,41463225776,81831501
62,179331387,159831409,1302054564,37010714616,85625714
63,188236493,154705870,1253504049,34189366379,85457644
64,180109594,84948334,1267393841,35809309831,85517548
65,177284154,51793003224,1243756436,37048347478,38606067
66,192387719,164333067,1299799236,36115883248,74087459
67,179362035,53030694189,1299820091,35280289627,187713740
68,93271710,25008338,1298397665,39617787545,85937013
69,180443518,163424456,1370080157,44515006855,29315400
70,187867257,186487012,1277200980,35260603217,85485132
71,191730891,171252538,1322504272,35196441604,153238712
72,123149776,351019907,2177770887,34790842191,38391687
73,192214092,228349206,1582085191,35727539791,85659737
74,174511863,213953635,1306773345,41006870453,78392283
75,167714645,50690976426,2486666350,35676286227,85515972
76,172848484,163279510,1506077059,37696734524,26740606
77,189086303,50148833943,1435042412,34628353166,85427189
78,149170134,187007425,1312372202,38419528191,37002097
79,189787826,159666075,1296934468,34850613868,1799714
80,126382140,58457809,1284981652,35881918046,161635080
81,110391243,374853093,1230276645,38984737260,85544921
82,181051536,167119808,1297547242,39782281744,85353730
83,185149557,84319251,1232785344,36320902220,192575306
84,74956385,27921024,1245946172,36267253469,85275715
85,170274384,166132133,1284338852,34146890945,85561108
86,184006822,57225826,1313030175,36066366005,85926066
87,183227374,61140740,3246845422,36551027725,51047370
88,193064518,48381231375,1387098404,37072333762,2481714
89,190951270,230652443,1296213505,36440200949,1965128
90,131014776,201181127,1082235212580,40359144376,85561177
91,176898315,207722594,1242642456,38272342143,207799783
92,184783695,162057206,1257877805,33818890692,85444531
93,170897960,61811164,1287467831,39220793818,85607547
94,163150192,53439570991,1046720035922,37080620448,85380119
95,184725727,173432098,1320689094,39015056201,207879740
96,188003506,152608489,1260938385,35007749866,25901064
97,189562105,164318093,1292818723,34456530124,85764666
98,182338197,25571296,1228919008,37839830243,46222780
99,190170822,164798399,1266985060,37531411154,2656600
100,170838234,52892697150,1260665173,37368848202,73887448
