i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,383984,157335747,38645,18354021952,432254139,11373810
2,64939,146922010,41158,18320997289,411224026,9994809
3,63868,236305730,36602,18253400798,408657933,9894317
4,66588,137350582,38712,18342497185,408776643,9834155
5,65335,150561269,38449,18351883676,411342286,10283845
6,65454,248582935,35509,18291527103,410046386,10015863
7,65178,155093663,39496,18345597821,407600807,9863357
8,64347,148676698,38180,18374218396,444538308,10306209
9,83451,156346778,40874,18674407763,443966962,10044107
10,64847,156330067,39312,18633113039,441388351,9901794
11,63913,258448616,37821,18482664282,434085727,9861786
12,65031,149590905,37733,18595140226,442152988,9863904
13,85296,151753927,39326,18617355318,452341637,10136327
14,63884,151167281,37088,18466799221,407823328,27884893
15,68613,151127227,39249,18498151304,478519219,10051960
16,64544,149948195,37018,18447582473,408095853,10343096
17,66425,149631626,37160,18541964318,409239109,9892938
18,72960,148675140,44737,18455730498,408234294,9919684
19,66136,148511548,37744,18591403418,410815972,9933543
20,65116,155929096,46454,18446262002,407475281,9873835
21,66673,146742486,39213,18556788579,410905895,10000715
22,81053,155167217,42791,18668678117,409644521,9896452
23,64789,143535489,36948,18401331283,411870846,9918525
24,64924,143334277,38244,18512483648,409192384,10333475
25,66657,154979594,41018,18436053861,412275628,10101238
26,72038,222994762,42801,18471146711,411471649,9945218
27,63383,138956527,37569,18335170659,408093132,9906639
28,65716,136621837,37767,18486216061,412756824,10018921
29,79016,141932625,41856,18475267570,409837629,10270953
30,65733,240104125,41074,19359401378,410724242,10376398
31,64529,145166910,37470,18378481749,436861976,9988267
32,64994,151938175,37678,18487471214,450895945,9947771
33,83581,150134089,41904,18587477339,409407158,10358198
34,64364,157286678,35182,18448591149,408289773,9955366
35,65309,223920921,39335,18508350256,412162942,10128999
36,66393,137581795,37847,18380453677,409205761,9935826
37,77139,221166950,44552,18428363673,411573367,10087897
38,65172,175570623,38454,18445956385,446026134,9949466
39,66432,149603476,41783,18682818433,410434156,9893150
40,74256,151246536,52457,18445059501,412723537,9993879
41,66125,143387842,38217,18477426639,409778867,9933290
42,80043,139347900,36466,18673191200,410220191,10220487
43,65184,144204398,37473,18337413596,409457269,10348693
44,67181,154510197,41236,18419277564,445938770,9970178
45,77125,152267109,41173,18620655213,408921277,10154563
46,64998,154486999,35720,18610868718,412396674,10074449
47,65233,215730739,38049,18328581343,410970209,10193466
48,84682,152609572,42094,18507586168,438481550,10092035
49,66230,153090291,41309,18569061273,409921822,9961848
50,66743,147551202,39442,19666813975,441293695,11111777
51,63394,232907237,40378,18430829652,409347718,10043185
52,65304,188836116,39727,19451444241,454869435,10991523
53,64405,156230326,35382,18644250711,409229386,9928088
54,64548,143333264,38202,18869439862,410357381,9926041
55,63467,140418212,34753,18426523746,409048426,9942955
56,63592,143829726,37423,18747814768,407673992,9822957
57,81528,141792650,45637,18605268586,410687551,10155852
58,67890,220577510,38804,18352992077,410960078,9941398
59,65290,157061765,46627,18425741053,442385280,9957036
60,65840,156677272,43172,19685304781,434021889,10993209
61,86597,215625641,44010,19359504960,436836543,11567819
62,64795,156102208,35334,18559830506,453954666,10718195
63,67852,147793358,42330,18524084227,408791589,9929945
64,64870,220239038,37238,18495952353,409783252,9930399
65,79030,153510310,39174,18493476040,409161800,9963325
66,65972,156269337,37982,18429419812,408248357,9848031
67,63230,135584872,36131,18485675904,411465883,9946377
68,83915,150519775,42080,18463047878,410398405,9995523
69,65989,146530400,37960,18550476354,411000444,10064792
70,83257,226299037,47938,18340060586,468461164,10101961
71,67682,148768850,40223,18563761856,408894092,9863419
72,62831,225182154,38236,18327005788,410002761,10031095
73,64782,154478097,37712,18594944370,413501914,10226629
74,74971,226395754,36243,18696158598,411356177,10000004
75,66562,229488888,40771,18342189170,416322838,31850260
76,65673,151654510,41775,18557602739,410751956,9894956
77,66791,232441970,39497,18387816342,447346694,10984165
78,64546,156541136,39340,18655922861,408928550,9914978
79,62918,137861637,37781,18442872862,416194202,10142319
80,65256,152230967,37776,19758377902,443233318,11029914
81,65713,237213930,39948,18369765227,409275901,9901296
82,78406,185361282,42113,18626472339,410515354,10056420
83,64255,154500837,39948,18485943402,409777527,10305956
84,64694,151249650,41515,18886073552,408978380,9891814
85,64234,147092308,36692,18516241822,408458774,9920128
86,83267,150899788,41351,18383830082,409446074,10019406
87,70894,155331324,41849,18588470017,408996919,9894525
88,89692,156846435,49096,19660200679,430639697,11265287
89,65108,148096654,37168,18543968508,409701358,9975603
90,67476,149691879,38514,18371076866,408864644,10003220
91,63015,144396411,37497,18558540182,408795143,9907119
92,77666,155194347,45053,18751405105,408599215,9907571
93,63169,224643119,36223,18378747483,411305027,10749625
94,64390,233858959,35912,18483467368,409662692,10193866
95,74697,137111714,39342,18485529506,438172365,9958162
96,68389,157571654,38423,18670772306,410686962,10050887
97,64836,141869370,38290,18336482340,407667476,10394259
98,84508,150655434,41745,18603300284,409747262,10344401
99,63954,151879748,42013,18393747471,408485797,10322467
100,62773,139661102,42140,18578414097,410162574,9922493
