i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,154322,140696473,36156,51595052,684757344,97148803
2,78958,135396258,40683,82495681,654664698,88664936
3,38615,135998283,34588,143106593,542424339,86035833
4,36811,137544265,41952,144878947,555096226,20483509
5,36877,137459552,34594,143114957,543544717,20599081
6,36123,140899794,33743,149317488,528817804,15681830
7,35541,141010897,45207,149365469,559625473,16768198
8,40967,144798677,33592,148237824,464969257,2296489
9,37658,140211437,39347,149959689,518530989,66100329
10,40492,140758252,34058,143076729,493678815,4566002
