i,sstep,lambdastep,gammastep,wstep,loss
1,6629402824,180903587,4376520636,101025613093,86279906
2,9614666880,1170174550,4683621345,104094745197,212089939
3,9631814163,863408595,4254055531,105408117040,58718793
4,9670674455,1414295184,4253776805,83462453920,85668985
5,9742145687,583102071,1403915274758,81923189938,98632434
6,9616556632,144979580833,4209777246,79412604764,98815842
7,9785765510,1456195086,4180654470,80891305216,87788654
8,9741997066,607975884,13731221336,78742568495,87400448
9,9893338196,180465230756,1412835910151,79679284547,86660736
10,9997996508,164497059855,4680645281,80875455004,79927683
11,10642375793,1516607923,4467136993,79304098170,65471983
