i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,85756,134054481,32558,64428078,470141678,86910856
2,30033,127623231,29908,142108995,466596731,97737108
3,30052,128308408,29312,138037964,443864778,98532071
4,30255,128209307,30186,141011865,469285780,98660312
5,30047,128159266,30537,139984067,447096297,97587533
6,30371,127605872,29583,137216372,497546007,97726246
7,30939,131218372,29814,145645939,427424156,5057693
8,30651,128167290,29215,146756567,508628052,86013788
9,30461,127956879,34616,140958418,505109011,60048016
10,30749,129617962,30464,143630528,448753867,4951043
11,29993,128154346,30218,148613742,513137528,86133811
