i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,585080,1311422,13209,3385679,636075,103454
2,163203,2311048,11742,3328365,625526,111351
3,69043,1263531,13255,3247271,628882,96680
4,68833,1240405,12829,3288708,623727,95379
5,23297,1254247,10012,4992771,627935,103461
6,23110,1270390,10462,3244615,623635,97566
7,23120,2037119,9378,3245461,628719,107512
8,22913,1238013,10551,3142214,622682,97501
9,22654,1224977,10005,3223334,621684,95900
10,46236,1246217,10432,4208357,618613,92957
11,23118,1227908,10014,3175756,627592,96945
12,22810,1222626,8939,4117250,624130,95406
13,24162,1243661,10187,3232219,648214,98844
