i,sstep,lambdastep,gammastep,wstep,loss
1,539403,26798496,373364640,4042673,51967
2,784384,134455450,443694611,3887511,58217
3,1003666,258346366,417568634,4027536,80351
4,831364,177387658,471279356,3941321,63255
5,1043223,219702026,462242649,3918932,53391
6,790442,136380538,431273497,3594932,56315
7,1028085,182226517,439398011,3897551,69068
8,786387,137924664,464599301,3916646,58519
9,988838,154694280,463835513,3918856,52490
10,783987,137905819,437852126,3895668,56081
11,1006408,187764371,445937791,3548322,65351
12,789439,126624485,478804855,3608839,61816
13,788661,156913481,469691171,3912414,56521
14,784833,149110335,450106728,3559219,57054
15,1027140,203381595,437126018,3916150,56359
